Series,Year,Period,Value
EIUIR,2006,M01,113.7
EIUIR,2006,M02,112.8
EIUIR,2006,M03,112.7
EIUIR,2006,M04,115.1
EIUIR,2006,M05,117.2
EIUIR,2006,M06,117.3
EIUIR,2006,M07,118.2
EIUIR,2006,M08,118.8
EIUIR,2006,M09,116.2
EIUIR,2006,M10,113.3
EIUIR,2006,M11,113.8
EIUIR,2006,M12,115.1
EIUIR,2007,M01,113.7
EIUIR,2007,M02,114.1
EIUIR,2007,M03,115.9
EIUIR,2007,M04,117.5
EIUIR,2007,M05,118.6
EIUIR,2007,M06,120.0
EIUIR,2007,M07,121.5
EIUIR,2007,M08,121.1
EIUIR,2007,M09,121.8
EIUIR,2007,M10,123.6
EIUIR,2007,M11,127.5
EIUIR,2007,M12,127.3
EIUIR,2008,M01,129.2
EIUIR,2008,M02,129.5
EIUIR,2008,M03,133.5
EIUIR,2008,M04,137.3
EIUIR,2008,M05,141.2
EIUIR,2008,M06,145.5
EIUIR,2008,M07,147.5
EIUIR,2008,M08,143.0
EIUIR,2008,M09,137.8
EIUIR,2008,M10,129.6
EIUIR,2008,M11,120.0
EIUIR,2008,M12,114.5
EIUIR,2009,M01,113.0
EIUIR,2009,M02,113.0
EIUIR,2009,M03,113.6
EIUIR,2009,M04,114.8
EIUIR,2009,M05,116.8
EIUIR,2009,M06,120.0
EIUIR,2009,M07,119.3
EIUIR,2009,M08,121.1
EIUIR,2009,M09,121.3
EIUIR,2009,M10,122.3
EIUIR,2009,M11,124.1
EIUIR,2009,M12,124.4
EIUIR,2010,M01,125.9
EIUIR,2010,M02,125.8
EIUIR,2010,M03,126.3
EIUIR,2010,M04,127.7
EIUIR,2010,M05,126.7
EIUIR,2010,M06,125.2
EIUIR,2010,M07,125.2
EIUIR,2010,M08,125.7
EIUIR,2010,M09,125.7
EIUIR,2010,M10,127.1
EIUIR,2010,M11,129.2
EIUIR,2010,M12,131.0
EIUIR,2011,M01,133.0
EIUIR,2011,M02,135.3
EIUIR,2011,M03,139.3
EIUIR,2011,M04,142.9
EIUIR,2011,M05,143.1
EIUIR,2011,M06,142.2
EIUIR,2011,M07,142.4
EIUIR,2011,M08,141.9
EIUIR,2011,M09,141.7
EIUIR,2011,M10,141.2
EIUIR,2011,M11,142.2
EIUIR,2011,M12,142.2
EIUIR,2012,M01,142.2
EIUIR,2012,M02,142.2
EIUIR,2012,M03,144.2
EIUIR,2012,M04,144.1
EIUIR,2012,M05,142.0
EIUIR,2012,M06,138.7
EIUIR,2012,M07,137.7
EIUIR,2012,M08,139.4
EIUIR,2012,M09,140.8
EIUIR,2012,M10,141.2
EIUIR,2012,M11,140.2
EIUIR,2012,M12,139.4
EIUIR,2013,M01,140.1
EIUIR,2013,M02,141.3
EIUIR,2013,M03,141.2
EIUIR,2013,M04,140.2
EIUIR,2013,M05,139.4
EIUIR,2013,M06,138.8
EIUIR,2013,M07,138.9
EIUIR,2013,M08,139.4
EIUIR,2013,M09,139.8
EIUIR,2013,M10,138.9
EIUIR,2013,M11,137.7
EIUIR,2013,M12,137.8
EIUIR,2014,M01,138.3
EIUIR,2014,M02,139.8
EIUIR,2014,M03,140.5
EIUIR,2014,M04,139.7
EIUIR,2014,M05,140.1
EIUIR,2014,M06,140.5
EIUIR,2014,M07,140.1
EIUIR,2014,M08,139.0
EIUIR,2014,M09,137.9
EIUIR,2014,M10,136.0
EIUIR,2014,M11,133.5
EIUIR,2014,M12,130.1
EIUIR,2015,M01,126.0
EIUIR,2015,M02,125.5
EIUIR,2015,M03,125.3
EIUIR,2015,M04,125.1
EIUIR,2015,M05,126.5
EIUIR,2015,M06,126.6
EIUIR,2015,M07,125.4
EIUIR,2015,M08,123.2
EIUIR,2015,M09,121.9
EIUIR,2015,M10,121.5
EIUIR,2015,M11,120.8
EIUIR,2015,M12,119.3
EIUIR,2016,M01,117.8
EIUIR,2016,M02,117.2
EIUIR,2016,M03,117.7
EIUIR,2016,M04,118.5
EIUIR,2016,M05,119.9
EIUIR,2016,M06,120.7
EIUIR,2016,M07,120.8
EIUIR,2016,M08,120.5
EIUIR,2016,M09,120.6
EIUIR,2016,M10,121.1
EIUIR,2016,M11,120.7
