"","x"
"1",7
"2",7.4
"3",9.5
"4",7.2
"5",7.3
"6",7.6
"7",8.1
"8",8.2
"9",8.3
"10",8.5
"11",8.7
"12",9.8
"13",7.1
"14",8.7
"15",9.1
"16",9.7
"17",10.9
"18",11
"19",7.3
"20",7.9
"21",8.4
"22",9
"23",9
"24",9.5
"25",9.6
"26",9.7
"27",10.1
"28",10.1
"29",10.6
"30",11.2
"31",6.3
"32",8.7
"33",8.8
"34",10.2
"35",9
"36",10.9
"37",8.7
"38",10.1
"39",10.1
"40",8.5
"41",10.2
"42",10.8
"43",9.9
"44",10.1
"45",10.1
"46",10.6
"47",13
"48",6.5
"49",6.5
"50",10.1
"51",7.2
"52",7.6
"53",7.9
"54",8.5
"55",9.1
"56",9.6
"57",9.6
"58",10.7
"59",9.6
"60",7.3
"61",7.9
"62",7.9
"63",9.1
"64",9.3
"65",7.9
"66",8.6
"67",8.8
"68",8.8
"69",9.3
"70",11
"71",12.7
"72",12.7
"73",7.7
"74",8.3
"75",9.4
"76",9.4
"77",10.5
"78",11.5
"79",8
"80",9
"81",9.6
"82",9.6
"83",9.8
"84",10.4
"85",11.1
"86",12
"87",12.5
"88",9.1
"89",10
"90",10.2
"91",11.4
"92",12
"93",13.3
"94",13.5
"95",9.4
"96",10.1
"97",10.6
"98",11.3
"99",11.8
"100",10
"101",10.4
"102",10.6
"103",11.6
"104",12.2
"105",12.4
"106",12.7
"107",13.3
"108",13.8
"109",9.9
"110",11.5
"111",12.1
"112",12.5
"113",13
"114",14.3
"115",11.6
"116",11.9
"117",12.3
"118",13
"119",13.5
"120",13.6
"121",11.5
"122",12
"123",14.1
"124",14.9
"125",15.4
"126",11.2
"127",12.2
"128",12.4
"129",12.8
"130",14.4
"131",11.7
"132",12.9
"133",15.6
"134",15.7
"135",17.2
"136",11.8
"137",13.3
"138",14.8
"139",15
"140",11
"141",14.8
"142",16.8
"143",14.4
"144",20.5
