id,start.year,default,wcTA,reTA,ebitTA,mktcapTL,sTA
1,2010,0,0.501,0.307,0.043,0.956,0.335
1,2011,0,0.55,0.32,0.05,1.06,0.33
1,2012,0,0.45,0.23,0.03,0.80,0.25
1,2013,0,0.31,0.19,0.03,0.39,0.25
1,2014,0,0.45,0.22,0.03,0.79,0.28
1,2015,0,0.46,0.22,0.03,1.29,0.32
2,2010,0,0.01,-0.03,0.01,0.11,0.25
2,2011,0,-0.11,-0.12,0.03,0.15,0.32
2,2012,0,0.06,-0.11,0.04,0.41,0.29
2,2013,0,0.05,-0.09,0.05,0.25,0.34
2,2014,0,0.12,-0.11,0.04,0.46,0.31
3,2010,0,-0.04,0.27,0.05,0.59,0.21
3,2011,0,-0.04,0.25,0.03,0.33,0.21
3,2012,0,0.00,0.15,0.00,0.16,0.16
3,2013,0,-0.05,0.02,0.01,0.07,0.16
3,2014,0,-0.03,-0.01,0.02,0.10,0.18
3,2015,0,-0.03,-0.04,0.02,0.09,0.19
4,2006,0,0.02,0.05,0.05,0.55,0.07
4,2007,0,0.02,0.08,0.03,0.60,0.09
4,2008,0,0.03,0.11,0.04,0.79,0.10
4,2009,0,0.00,0.12,0.04,0.82,0.09
4,2010,0,0.04,0.14,0.02,0.63,0.12
4,2011,0,-0.05,0.15,0.04,0.89,0.15
4,2012,0,-0.01,0.14,0.04,0.68,0.11
4,2013,0,0.00,0.15,0.03,0.58,0.09
4,2014,0,0.01,0.15,0.04,0.58,0.11
4,2015,0,-0.01,0.16,0.05,0.62,0.11
5,2010,0,0.15,0.42,0.10,7.96,0.27
5,2011,0,0.23,0.47,0.09,11.17,0.27
5,2012,0,0.05,0.32,0.08,6.12,0.21
5,2013,0,0.12,0.36,0.07,4.63,0.22
5,2014,0,0.14,0.41,0.08,5.38,0.22
5,2015,0,0.16,0.43,0.07,5.06,0.22
6,2009,0,0.08,0.10,0.02,0.75,0.14
6,2010,0,0.03,0.04,0.03,0.81,0.14
6,2011,0,0.03,-0.01,0.06,0.77,0.18
6,2012,0,0.04,0.00,0.04,0.64,0.13
6,2013,0,0.04,0.00,0.03,0.71,0.15
6,2014,0,0.02,-0.03,0.03,0.65,0.18
6,2015,0,0.01,-0.05,0.04,0.55,0.20
7,2009,0,0.09,-0.05,0.05,1.13,0.19
7,2010,0,0.07,-0.01,0.07,0.88,0.18
7,2011,0,0.05,0.24,0.03,0.46,0.14
7,2012,0,-0.38,0.33,0.02,1.22,0.11
8,2010,0,0.14,0.23,0.05,1.80,0.25
8,2011,0,0.28,0.34,0.06,1.70,0.24
8,2012,0,0.21,0.32,0.02,2.61,0.20
8,2013,0,0.15,0.15,-0.02,0.74,0.14
8,2014,0,0.23,0.10,0.05,1.14,0.21
8,2015,0,0.21,0.13,0.04,1.70,0.19
9,2006,0,-0.17,0.07,0.07,1.57,0.16
9,2007,0,0.03,-0.07,0.04,3.37,0.09
9,2008,0,0.01,-0.04,0.04,3.13,0.12
10,2012,0,0.28,0.18,0.04,0.17,0.17
10,2013,0,0.31,0.09,0.04,0.22,0.15
10,2014,0,0.33,0.13,0.03,0.33,0.14
10,2015,0,0.34,0.16,0.04,0.59,0.16
11,2006,0,0.39,0.09,0.05,3.02,0.08
11,2007,0,0.33,0.12,0.02,3.56,0.07
11,2008,0,0.35,-0.24,-0.36,1.72,0.04
11,2009,0,0.36,0.05,0.02,1.71,0.06
11,2010,0,0.11,-0.01,0.01,2.63,0.05
11,2011,0,0.09,-0.04,0.06,1.47,0.11
11,2012,0,0.14,-0.08,0.02,3.61,0.09
12,2006,0,0.19,0.22,0.06,1.29,0.71
13,2010,0,0.02,0.45,0.06,1.29,0.18
13,2011,0,0.09,0.42,0.06,1.54,0.20
13,2012,0,0.07,0.45,0.06,1.79,0.20
13,2013,0,0.11,0.47,0.05,1.92,0.19
13,2014,0,0.09,0.46,0.04,1.83,0.19
13,2015,0,0.09,0.46,0.05,2.24,0.23
14,2013,0,0.16,0.32,0.06,0.73,0.51
15,2010,0,0.02,0.24,0.04,0.77,0.27
15,2011,0,0.07,0.19,0.01,0.49,0.23
15,2012,0,0.09,0.16,-0.01,0.40,0.19
15,2013,0,0.11,0.09,0.02,0.29,0.21
15,2014,0,0.06,0.11,0.03,0.31,0.22
15,2015,0,0.11,0.09,0.02,0.37,0.24
16,2010,0,0.06,0.12,0.06,1.68,0.15
16,2011,0,0.05,0.13,0.09,1.46,0.20
16,2012,0,0.03,0.18,0.05,1.11,0.12
17,2010,0,0.29,0.51,0.07,1.98,0.47
17,2011,0,0.31,0.49,0.06,2.05,0.47
17,2012,0,0.36,0.51,0.07,2.68,0.45
17,2013,0,0.32,0.51,0.08,3.22,0.43
17,2014,0,0.38,0.54,0.06,3.89,0.41
17,2015,0,0.31,0.58,0.07,5.31,0.45
18,2010,0,0.07,0.35,0.07,1.32,0.67
18,2011,0,0.09,0.37,0.07,1.16,0.63
18,2012,0,0.09,0.37,0.06,1.19,0.60
18,2013,0,0.09,0.34,0.06,0.84,0.64
18,2014,0,0.07,0.36,0.06,0.89,0.59
18,2015,0,0.01,0.30,0.06,0.69,0.63
19,2010,0,0.14,0.46,0.05,2.11,0.22
19,2011,0,0.07,0.26,0.04,1.21,0.19
19,2012,0,0.05,0.26,0.04,1.35,0.21
19,2013,0,0.09,0.26,0.05,1.08,0.21
19,2014,0,0.09,0.16,0.04,0.84,0.13
19,2015,0,0.03,0.15,0.04,0.83,0.24
20,2010,0,0.05,0.10,0.06,0.40,0.27
20,2011,0,0.07,0.11,0.04,0.14,0.25
20,2012,0,0.07,0.10,0.05,0.25,0.24
20,2013,0,0.10,0.10,0.03,0.28,0.21
20,2014,0,0.08,0.13,0.03,0.23,0.20
20,2015,0,0.20,0.20,0.04,0.66,0.29
21,2006,0,0.34,0.23,0.03,2.27,0.30
21,2007,1,0.36,0.06,0.03,3.20,0.28
22,2011,0,-0.05,0.14,0.06,0.94,0.18
22,2012,0,-0.12,0.12,0.04,0.58,0.20
22,2013,0,-0.40,0.07,0.00,0.14,0.09
22,2014,0,0.05,0.03,0.04,0.20,0.09
22,2015,0,0.05,-0.03,0.06,0.40,0.12
23,2010,0,0.12,0.45,0.06,3.08,0.29
23,2011,0,0.18,0.44,0.07,2.49,0.29
23,2012,0,0.17,0.42,0.05,1.87,0.26
23,2013,0,0.15,0.32,0.05,1.09,0.24
23,2014,0,0.18,0.37,0.05,1.58,0.26
23,2015,0,0.17,0.38,0.05,1.57,0.25
24,2006,0,0.07,0.30,0.06,1.81,0.17
24,2007,0,0.05,0.34,0.07,1.83,0.18
24,2008,0,0.03,0.36,0.08,2.24,0.24
24,2009,0,0.01,0.26,0.07,2.71,0.20
24,2010,0,0.03,0.30,0.08,3.97,0.18
24,2011,0,0.05,0.35,0.06,2.80,0.18
24,2012,0,0.06,0.39,0.07,2.74,0.18
24,2013,0,0.03,0.32,0.07,1.55,0.14
