id,start.date,start.rating,end.date,end.rating,time,start.year,end.year,,
1,36891,6,38716,6,1825,2000,2005,,1999
2,37762,6,38716,6,954,2003,2005,,2005
3,36524,5,36829,6,305,1999,2000,,
3,36829,6,37255,5,426,2000,2001,,
3,37255,5,38716,5,1461,2001,2005,,
4,37255,5,37406,6,151,2001,2002,,
4,37406,6,38716,6,1310,2002,2005,,
5,36670,2,37041,3,371,2000,2001,,
5,37041,3,37194,2,153,2001,2001,,
5,37194,2,38716,2,1522,2001,2005,,
6,36524,4,37255,4,731,1999,2001,,
6,37255,4,38716,4,1461,2001,2005,,
7,37620,4,37795,5,175,2002,2003,,
7,37795,5,37985,6,190,2003,2003,,
7,37985,6,38128,5,143,2003,2004,,
7,38128,5,38716,5,588,2004,2005,,
8,37620,3,38716,3,1096,2002,2005,,
10,38351,5,38716,5,365,2004,2005,,
11,36524,6,37255,7,731,1999,2001,,
11,37255,7,37397,8,142,2001,2002,,
13,36524,4,37771,5,1247,1999,2003,,
13,37771,5,38716,5,945,2003,2005,,
14,36424,5,36524,5,100,1999,1999,,
14,36524,5,37255,5,731,1999,2001,,
14,37255,5,37402,6,147,2001,2002,,
14,37402,6,38128,5,726,2002,2004,,
14,38128,5,38716,5,588,2004,2005,,
15,37985,4,38716,4,731,2003,2005,,
17,36341,3,38716,3,2375,1999,2005,,
18,36332,6,38160,6,1828,1999,2004,,
18,38160,6,38716,6,556,2004,2005,,
20,36890,5,37102,6,212,2000,2001,,
20,37102,6,38716,6,1614,2001,2005,,
21,36698,2,38716,2,2018,2000,2005,,
22,38351,8,38716,8,365,2004,2005,,
23,36310,5,38594,5,2284,1999,2005,,
23,38594,5,38716,5,122,2005,2005,,
25,36676,4,36790,3,114,2000,2000,,
25,36790,3,38716,3,1926,2000,2005,,
26,36524,4,38128,4,1604,1999,2004,,
26,38128,4,38716,4,588,2004,2005,,
27,38137,2,38716,2,579,2004,2005,,
28,38351,4,38716,4,365,2004,2005,,
29,36860,3,38716,3,1856,2000,2005,,
30,37255,1,37762,3,507,2001,2003,,
30,37762,3,37985,5,223,2003,2003,,
32,37885,3,38716,3,831,2003,2005,,
34,36676,2,37620,3,944,2000,2002,,
34,37620,3,37771,3,151,2002,2003,,
34,37771,3,38716,3,945,2003,2005,,
35,37620,3,38220,3,600,2002,2004,,
35,38220,3,38716,3,496,2004,2005,,
36,36676,4,38716,4,2040,2000,2005,,
37,38351,2,38716,2,365,2004,2005,,
38,36890,3,37924,3,1034,2000,2003,,
38,37924,3,38716,3,792,2003,2005,,
39,36667,2,37399,1,732,2000,2002,,
39,37399,1,38716,1,1317,2002,2005,,
40,36494,3,37976,3,1482,1999,2003,,
40,37976,3,37985,3,9,2003,2003,,
40,37985,3,38716,3,731,2003,2005,,
42,38168,3,38716,3,548,2004,2005,,
43,37041,3,37063,4,22,2001,2001,,
43,37063,4,37397,4,334,2001,2002,,
43,37397,4,38716,5,1319,2002,2005,,
43,37397,5,37406,6,9,2002,2002,,
43,37406,6,38220,5,814,2002,2004,,
43,38220,5,38502,5,282,2004,2005,,
43,38502,5,38716,5,214,2005,2005,,
44,38502,4,38716,4,214,2005,2005,,
45,37406,1,38716,1,1310,2002,2005,,
46,36310,2,37133,2,823,1999,2001,,
46,37133,2,37620,2,487,2001,2002,,
46,37620,2,37985,3,365,2002,2003,,
46,37985,3,38716,3,731,2003,2005,,
47,37620,4,37771,4,151,2002,2003,,
47,37771,4,38716,4,945,2003,2005,,
48,36310,4,38716,4,2406,1999,2005,,
49,37406,2,38716,2,1310,2002,2005,,
50,36668,3,38716,3,2048,2000,2005,,
52,36494,4,36515,4,21,1999,1999,,
52,36515,4,37406,3,891,1999,2002,,
