id,start.date,start.rating,end.date,end.rating,time,start.year,end.year
1,40541,6,42366,6,1825,2010,2015
2,41412,6,42366,6,954,2013,2015
3,40174,5,40479,6,305,2009,2010
3,40479,6,40905,5,426,2010,2011
3,40905,5,42366,5,1461,2011,2015
4,40905,5,41056,6,151,2011,2012
4,41056,6,42366,6,1310,2012,2015
5,40320,2,40691,3,371,2010,2011
5,40691,3,40844,2,153,2011,2011
5,40844,2,42366,2,1522,2011,2015
6,40174,4,40905,4,731,2009,2011
6,40905,4,42366,4,1461,2011,2015
7,41270,4,41445,5,175,2012,2013
7,41445,5,41635,6,190,2013,2013
7,41635,6,41778,5,143,2013,2014
7,41778,5,42366,5,588,2014,2015
8,41270,3,42366,3,1096,2012,2015
10,42001,5,42366,5,365,2014,2015
11,40174,6,40905,7,731,2009,2011
11,40905,7,41047,8,142,2011,2012
13,40174,4,41421,5,1247,2009,2013
13,41421,5,42366,5,945,2013,2015
14,40074,5,40174,5,100,2009,2009
14,40174,5,40905,5,731,2009,2011
14,40905,5,41052,6,147,2011,2012
14,41052,6,41778,5,726,2012,2014
14,41778,5,42366,5,588,2014,2015
15,41635,4,42366,4,731,2013,2015
17,39991,3,42366,3,2375,2009,2015
18,39982,6,41810,6,1828,2009,2014
18,41810,6,42366,6,556,2014,2015
20,40540,5,40752,6,212,2010,2011
20,40752,6,42366,6,1614,2011,2015
21,40348,2,42366,2,2018,2010,2015
22,42001,8,42366,8,365,2014,2015
23,39960,5,42244,5,2284,2009,2015
23,42244,5,42366,5,122,2015,2015
25,40326,4,40440,3,114,2010,2010
25,40440,3,42366,3,1926,2010,2015
26,40174,4,41778,4,1604,2009,2014
26,41778,4,42366,4,588,2014,2015
27,41787,2,42366,2,579,2014,2015
28,42001,4,42366,4,365,2014,2015
29,40510,3,42366,3,1856,2010,2015
30,40905,1,41412,3,507,2011,2013
30,41412,3,41635,5,223,2013,2013
32,41535,3,42366,3,831,2013,2015
34,40326,2,41270,3,944,2010,2012
34,41270,3,41421,3,151,2012,2013
34,41421,3,42366,3,945,2013,2015
35,41270,3,41870,3,600,2012,2014
35,41870,3,42366,3,496,2014,2015
36,40326,4,42366,4,2040,2010,2015
37,42001,2,42366,2,365,2014,2015
38,40540,3,41574,3,1034,2010,2013
38,41574,3,42366,3,792,2013,2015
39,40317,2,41049,1,732,2010,2012
39,41049,1,42366,1,1317,2012,2015
40,40144,3,41626,3,1482,2009,2013
40,41626,3,41635,3,9,2013,2013
40,41635,3,42366,3,731,2013,2015
42,41818,3,42366,3,548,2014,2015
43,40691,3,40713,4,22,2011,2011
43,40713,4,41047,4,334,2011,2012
43,41047,4,42366,5,1319,2012,2015
43,41047,5,41056,6,9,2012,2012
43,41056,6,41870,5,814,2012,2014
43,41870,5,42152,5,282,2014,2015
43,42152,5,42366,5,214,2015,2015
44,42152,4,42366,4,214,2015,2015
45,41056,1,42366,1,1310,2012,2015
46,39960,2,40783,2,823,2009,2011
46,40783,2,41270,2,487,2011,2012
46,41270,2,41635,3,365,2012,2013
46,41635,3,42366,3,731,2013,2015
47,41270,4,41421,4,151,2012,2013
47,41421,4,42366,4,945,2013,2015
48,39960,4,42366,4,2406,2009,2015
49,41056,2,42366,2,1310,2012,2015
50,40318,3,42366,3,2048,2010,2015
52,40144,4,40165,4,21,2009,2009
52,40165,4,41056,3,891,2009,2012
52,41056,3,42366,3,1310,2012,2015
53,40326,2,42366,2,2040,2010,2015
54,40531,6,40844,7,313,2010,2011
54,40844,7,41117,8,273,2011,2012
56,41056,5,41421,6,365,2012,2013
56,41421,6,42366,6,945,2013,2015
57,39960,3,40682,3,722,2009,2011
58,41809,2,42366,2,557,2014,2015
59,41787,4,42366,4,579,2014,2015
60,40019,5,40510,5,491,2009,2010
61,40415,4,42366,4,1951,2010,2015
62,39951,3,41635,3,1684,2009,2013
62,41635,3,42366,3,731,2013,2015
63,40083,3,41421,3,1338,2009,2013
63,41421,3,42366,3,945,2013,2015
64,41117,5,41421,4,304,2012,2013
64,41421,4,42366,4,945,2013,2015
65,40317,5,40691,5,374,2010,2011
65,40691,5,41270,4,579,2011,2012
65,41270,4,41787,4,517,2012,2014
65,41787,4,42366,4,579,2014,2015
66,41818,4,42366,4,548,2014,2015
67,40326,3,41421,3,1095,2010,2013
67,41421,3,41818,4,397,2013,2014
67,41818,4,41940,4,122,2014,2014
67,41940,4,42001,4,61,2014,2014
67,42001,4,42366,4,365,2014,2015
68,41875,4,42366,4,491,2014,2015
69,40479,3,42366,3,1887,2010,2015
70,40357,3,41209,4,852,2010,2012
70,41209,4,42366,4,1157,2012,2015
71,42001,4,42366,4,365,2014,2015
72,39954,4,41047,4,1093,2009,2012
72,41047,4,42366,4,1319,2012,2015
