id,start.date,start.rating,end.date,end.rating,time,start.year,end.year,,,,,,id,start.date,start.rating,end.date,end.rating
1,40541,6,42366,6,1825,2010,2015,,2009,2015,44191,46016,1,36891,6,38716,6
2,41412,6,42366,6,954,2013,2015,,2015,,45062,46016,2,37762,6,38716,6
3,40174,5,40479,6,305,2009,2010,,,,43824,44129,3,36524,5,36829,6
3,40479,6,40905,5,426,2010,2011,,,,44129,44555,3,36829,6,37255,5
3,40905,5,42366,5,1461,2011,2015,,,,44555,46016,3,37255,5,38716,5
4,40905,5,41056,6,151,2011,2012,,,,44555,44706,4,37255,5,37406,6
4,41056,6,42366,6,1310,2012,2015,,,,44706,46016,4,37406,6,38716,6
5,40320,2,40691,3,371,2010,2011,,,,43970,44341,5,36670,2,37041,3
5,40691,3,40844,2,153,2011,2011,,,,44341,44494,5,37041,3,37194,2
5,40844,2,42366,2,1522,2011,2015,,,,44494,46016,5,37194,2,38716,2
6,40174,4,40905,4,731,2009,2011,,,,43824,44555,6,36524,4,37255,4
6,40905,4,42366,4,1461,2011,2015,,,,44555,46016,6,37255,4,38716,4
7,41270,4,41445,5,175,2012,2013,,,,44920,45095,7,37620,4,37795,5
7,41445,5,41635,6,190,2013,2013,,,,45095,45285,7,37795,5,37985,6
7,41635,6,41778,5,143,2013,2014,,,,45285,45428,7,37985,6,38128,5
7,41778,5,42366,5,588,2014,2015,,,,45428,46016,7,38128,5,38716,5
8,41270,3,42366,3,1096,2012,2015,,,,44920,46016,8,37620,3,38716,3
10,42001,5,42366,5,365,2014,2015,,,,45651,46016,10,38351,5,38716,5
11,40174,6,40905,7,731,2009,2011,,,,43824,44555,11,36524,6,37255,7
11,40905,7,41047,8,142,2011,2012,,,,44555,44697,11,37255,7,37397,8
13,40174,4,41421,5,1247,2009,2013,,,,43824,45071,13,36524,4,37771,5
13,41421,5,42366,5,945,2013,2015,,,,45071,46016,13,37771,5,38716,5
14,40074,5,40174,5,100,2009,2009,,,,43724,43824,14,36424,5,36524,5
14,40174,5,40905,5,731,2009,2011,,,,43824,44555,14,36524,5,37255,5
14,40905,5,41052,6,147,2011,2012,,,,44555,44702,14,37255,5,37402,6
14,41052,6,41778,5,726,2012,2014,,,,44702,45428,14,37402,6,38128,5
14,41778,5,42366,5,588,2014,2015,,,,45428,46016,14,38128,5,38716,5
15,41635,4,42366,4,731,2013,2015,,,,45285,46016,15,37985,4,38716,4
17,39991,3,42366,3,2375,2009,2015,,,,43641,46016,17,36341,3,38716,3
18,39982,6,41810,6,1828,2009,2014,,,,43632,45460,18,36332,6,38160,6
18,41810,6,42366,6,556,2014,2015,,,,45460,46016,18,38160,6,38716,6
20,40540,5,40752,6,212,2010,2011,,,,44190,44402,20,36890,5,37102,6
20,40752,6,42366,6,1614,2011,2015,,,,44402,46016,20,37102,6,38716,6
21,40348,2,42366,2,2018,2010,2015,,,,43998,46016,21,36698,2,38716,2
22,42001,8,42366,8,365,2014,2015,,,,45651,46016,22,38351,8,38716,8
23,39960,5,42244,5,2284,2009,2015,,,,43610,45894,23,36310,5,38594,5
23,42244,5,42366,5,122,2015,2015,,,,45894,46016,23,38594,5,38716,5
25,40326,4,40440,3,114,2010,2010,,,,43976,44090,25,36676,4,36790,3
25,40440,3,42366,3,1926,2010,2015,,,,44090,46016,25,36790,3,38716,3
26,40174,4,41778,4,1604,2009,2014,,,,43824,45428,26,36524,4,38128,4
26,41778,4,42366,4,588,2014,2015,,,,45428,46016,26,38128,4,38716,4
27,41787,2,42366,2,579,2014,2015,,,,45437,46016,27,38137,2,38716,2
28,42001,4,42366,4,365,2014,2015,,,,45651,46016,28,38351,4,38716,4
29,40510,3,42366,3,1856,2010,2015,,,,44160,46016,29,36860,3,38716,3
30,40905,1,41412,3,507,2011,2013,,,,44555,45062,30,37255,1,37762,3
30,41412,3,41635,5,223,2013,2013,,,,45062,45285,30,37762,3,37985,5
32,41535,3,42366,3,831,2013,2015,,,,45185,46016,32,37885,3,38716,3
34,40326,2,41270,3,944,2010,2012,,,,43976,44920,34,36676,2,37620,3
34,41270,3,41421,3,151,2012,2013,,,,44920,45071,34,37620,3,37771,3
34,41421,3,42366,3,945,2013,2015,,,,45071,46016,34,37771,3,38716,3
35,41270,3,41870,3,600,2012,2014,,,,44920,45520,35,37620,3,38220,3
35,41870,3,42366,3,496,2014,2015,,,,45520,46016,35,38220,3,38716,3
36,40326,4,42366,4,2040,2010,2015,,,,43976,46016,36,36676,4,38716,4
37,42001,2,42366,2,365,2014,2015,,,,45651,46016,37,38351,2,38716,2
38,40540,3,41574,3,1034,2010,2013,,,,44190,45224,38,36890,3,37924,3
38,41574,3,42366,3,792,2013,2015,,,,45224,46016,38,37924,3,38716,3
39,40317,2,41049,1,732,2010,2012,,,,43967,44699,39,36667,2,37399,1
39,41049,1,42366,1,1317,2012,2015,,,,44699,46016,39,37399,1,38716,1
40,40144,3,41626,3,1482,2009,2013,,,,43794,45276,40,36494,3,37976,3
40,41626,3,41635,3,9,2013,2013,,,,45276,45285,40,37976,3,37985,3
40,41635,3,42366,3,731,2013,2015,,,,45285,46016,40,37985,3,38716,3
42,41818,3,42366,3,548,2014,2015,,,,45468,46016,42,38168,3,38716,3
43,40691,3,40713,4,22,2011,2011,,,,44341,44363,43,37041,3,37063,4
43,40713,4,41047,4,334,2011,2012,,,,44363,44697,43,37063,4,37397,4
43,41047,4,42366,5,1319,2012,2015,,,,44697,46016,43,37397,4,38716,5
43,41047,5,41056,6,9,2012,2012,,,,44697,44706,43,37397,5,37406,6
43,41056,6,41870,5,814,2012,2014,,,,44706,45520,43,37406,6,38220,5
43,41870,5,42152,5,282,2014,2015,,,,45520,45802,43,38220,5,38502,5
43,42152,5,42366,5,214,2015,2015,,,,45802,46016,43,38502,5,38716,5
44,42152,4,42366,4,214,2015,2015,,,,45802,46016,44,38502,4,38716,4
45,41056,1,42366,1,1310,2012,2015,,,,44706,46016,45,37406,1,38716,1
46,39960,2,40783,2,823,2009,2011,,,,43610,44433,46,36310,2,37133,2
46,40783,2,41270,2,487,2011,2012,,,,44433,44920,46,37133,2,37620,2
46,41270,2,41635,3,365,2012,2013,,,,44920,45285,46,37620,2,37985,3
46,41635,3,42366,3,731,2013,2015,,,,45285,46016,46,37985,3,38716,3
47,41270,4,41421,4,151,2012,2013,,,,44920,45071,47,37620,4,37771,4
47,41421,4,42366,4,945,2013,2015,,,,45071,46016,47,37771,4,38716,4
48,39960,4,42366,4,2406,2009,2015,,,,43610,46016,48,36310,4,38716,4
49,41056,2,42366,2,1310,2012,2015,,,,44706,46016,49,37406,2,38716,2
50,40318,3,42366,3,2048,2010,2015,,,,43968,46016,50,36668,3,38716,3
52,40144,4,40165,4,21,2009,2009,,,,43794,43815,52,36494,4,36515,4
52,40165,4,41056,3,891,2009,2012,,,,43815,44706,52,36515,4,37406,3
52,41056,3,42366,3,1310,2012,2015,,,,44706,46016,52,37406,3,38716,3
53,40326,2,42366,2,2040,2010,2015,,,,43976,46016,53,36676,2,38716,2
54,40531,6,40844,7,313,2010,2011,,,,44181,44494,54,36881,6,37194,7
54,40844,7,41117,8,273,2011,2012,,,,44494,44767,54,37194,7,37467,8
56,41056,5,41421,6,365,2012,2013,,,,44706,45071,56,37406,5,37771,6
56,41421,6,42366,6,945,2013,2015,,,,45071,46016,56,37771,6,38716,6
57,39960,3,40682,3,722,2009,2011,,,,43610,44332,57,36310,3,37032,3
58,41809,2,42366,2,557,2014,2015,,,,45459,46016,58,38159,2,38716,2
59,41787,4,42366,4,579,2014,2015,,,,45437,46016,59,38137,4,38716,4
60,40019,5,40510,5,491,2009,2010,,,,43669,44160,60,36369,5,36860,5
61,40415,4,42366,4,1951,2010,2015,,,,44065,46016,61,36765,4,38716,4
62,39951,3,41635,3,1684,2009,2013,,,,43601,45285,62,36301,3,37985,3
62,41635,3,42366,3,731,2013,2015,,,,45285,46016,62,37985,3,38716,3
63,40083,3,41421,3,1338,2009,2013,,,,43733,45071,63,36433,3,37771,3
63,41421,3,42366,3,945,2013,2015,,,,45071,46016,63,37771,3,38716,3
64,41117,5,41421,4,304,2012,2013,,,,44767,45071,64,37467,5,37771,4
64,41421,4,42366,4,945,2013,2015,,,,45071,46016,64,37771,4,38716,4
65,40317,5,40691,5,374,2010,2011,,,,43967,44341,65,36667,5,37041,5
65,40691,5,41270,4,579,2011,2012,,,,44341,44920,65,37041,5,37620,4
65,41270,4,41787,4,517,2012,2014,,,,44920,45437,65,37620,4,38137,4
65,41787,4,42366,4,579,2014,2015,,,,45437,46016,65,38137,4,38716,4
66,41818,4,42366,4,548,2014,2015,,,,45468,46016,66,38168,4,38716,4
67,40326,3,41421,3,1095,2010,2013,,,,43976,45071,67,36676,3,37771,3
67,41421,3,41818,4,397,2013,2014,,,,45071,45468,67,37771,3,38168,4
67,41818,4,41940,4,122,2014,2014,,,,45468,45590,67,38168,4,38290,4
67,41940,4,42001,4,61,2014,2014,,,,45590,45651,67,38290,4,38351,4
67,42001,4,42366,4,365,2014,2015,,,,45651,46016,67,38351,4,38716,4
68,41875,4,42366,4,491,2014,2015,,,,45525,46016,68,38225,4,38716,4
69,40479,3,42366,3,1887,2010,2015,,,,44129,46016,69,36829,3,38716,3
70,40357,3,41209,4,852,2010,2012,,,,44007,44859,70,36707,3,37559,4
70,41209,4,42366,4,1157,2012,2015,,,,44859,46016,70,37559,4,38716,4
71,42001,4,42366,4,365,2014,2015,,,,45651,46016,71,38351,4,38716,4
72,39954,4,41047,4,1093,2009,2012,,,,43604,44697,72,36304,4,37397,4
72,41047,4,42366,4,1319,2012,2015,,,,44697,46016,72,37397,4,38716,4
73,39960,5,40540,5,580,2009,2010,,,,43610,44190,73,36310,5,36890,5
73,40540,5,41270,4,730,2010,2012,,,,44190,44920,73,36890,5,37620,4
73,41270,4,42366,4,1096,2012,2015,,,,44920,46016,73,37620,4,38716,4
74,40019,5,40326,5,307,2009,2010,,,,43669,43976,74,36369,5,36676,5
74,40326,5,41056,4,730,2010,2012,,,,43976,44706,74,36676,5,37406,4
74,41056,4,42366,4,1310,2012,2015,,,,44706,46016,74,37406,4,38716,4
75,40113,3,41421,3,1308,2009,2013,,,,43763,45071,75,36463,3,37771,3
75,41421,3,42366,3,945,2013,2015,,,,45071,46016,75,37771,3,38716,3
76,41056,3,41473,3,417,2012,2013,,,,44706,45123,76,37406,3,37823,3
77,40752,4,41544,6,792,2011,2013,,,,44402,45194,77,37102,4,37894,6
77,41544,6,41635,6,91,2013,2013,,,,45194,45285,77,37894,6,37985,6
77,41635,6,42366,6,731,2013,2015,,,,45285,46016,77,37985,6,38716,6
78,41270,1,42366,1,1096,2012,2015,,,,44920,46016,78,37620,1,38716,1
79,41787,2,42366,2,579,2014,2015,,,,45437,46016,79,38137,2,38716,2
81,40905,3,41087,4,182,2011,2012,,,,44555,44737,81,37255,3,37437,4
81,41087,4,42366,4,1279,2012,2015,,,,44737,46016,81,37437,4,38716,4
82,40722,4,41412,4,690,2011,2013,,,,44372,45062,82,37072,4,37762,4
82,41412,4,42366,4,954,2013,2015,,,,45062,46016,82,37762,4,38716,4
83,39951,5,40174,5,223,2009,2009,,,,43601,43824,83,36301,5,36524,5
83,40174,5,40866,6,692,2009,2011,,,,43824,44516,83,36524,5,37216,6
83,40866,6,41047,6,181,2011,2012,,,,44516,44697,83,37216,6,37397,6
