"","ALLIANZ.HLDG.","COMMERZBANK","DRESDNER.BANK","BMW","SCHERING","BASF","BAYER","BAYERISCHE.VBK.","BAYER.HYPBK.","DEGUSSA","DEUTSCHE.BANK","CONTINENTAL","VOLKSWAGEN","DAIMLER.BENZ","HOECHST","SIEMENS","KARSTADT","LINDE","THYSSEN","MANNESMANN","MAN","RWE","INDEX"
"1973-01-01",155.51,147.41,18.4,103.97,36.88,14.96,12.24,23.47,23.4,203.46,22.29,8.54,134.06,16.97,13.77,20.76,359.55,135.95,67.47,84.97,117.92,11.68,536.36
"1973-01-02",155.51,147.41,18.4,109.05,37.44,15.43,11.95,22.92,23.22,206.85,22.5,8.83,140,17.59,13.77,21.06,359.96,136.89,68.41,86.51,118.78,11.87,545.43
"1973-01-03",160.58,149.14,18.8,109.83,37.79,15.61,12.1,23.45,23.34,208.21,22.86,8.78,144.53,17.79,14.22,21.29,361.99,139.59,67.47,87.75,124.95,12.03,552.46
"1973-01-04",162.27,152.05,18.91,110.81,37.86,15.85,12.71,23.66,23.49,210.11,23.04,8.83,144.04,17.81,14.32,21.44,369.32,142.21,71.62,88.71,124.95,11.95,556.14
"1973-01-05",164.3,152.05,18.89,109.44,37.44,15.75,12.74,23.87,23.4,214.31,23.29,8.73,139.92,17.73,14.23,21.48,368.5,143.71,71.24,88.63,127.29,12.03,557.44
"1973-01-08",164.3,152.25,18.99,109.05,37.79,15.8,12.74,24.07,23.46,216.68,23.18,8.82,143.77,17.7,14.19,21.48,366.88,143.77,70.77,89.01,125.34,11.91,555.51
"1973-01-09",162.95,152.97,19.21,109.05,37.79,15.89,12.71,24.2,23.37,218.38,23.29,8.74,147.05,17.68,14.21,21.45,364.43,142.58,70.77,90.47,125.73,11.86,555.66
"1973-01-10",164.3,152.25,19.35,109.24,37.79,15.85,12.19,24.57,23.4,216.01,23.33,8.73,145.95,17.59,14.23,21.34,361.99,142.83,69.35,89.89,123.32,11.75,553.61
"1973-01-11",165.65,151.53,19.46,109.05,38.28,15.85,12.67,25.04,23.55,217.02,23.25,8.74,146.89,17.59,14.18,21.34,358.33,143.71,70.68,90.51,122.61,11.75,553.91
"1973-01-12",164.64,151.53,19.54,109.24,38.49,15.94,12.72,24.94,23.52,216.34,23.36,8.74,148.38,17.73,14.37,21.52,359.96,145.64,71.71,90.78,123.78,11.91,558.6
"1973-01-15",164.64,151.53,19.54,109.24,38.49,15.94,12.72,24.94,23.52,216.34,23.36,8.74,148.38,17.73,14.37,21.52,359.96,145.64,71.71,90.78,123.78,11.91,559.64
"1973-01-16",162.27,151.39,18.91,109.05,38.83,15.99,12.7,24.54,23.28,214.31,23.08,8.75,148.04,17.73,14.86,21.37,357.11,145.58,71.42,92.01,126.44,11.75,555.14
"1973-01-17",163.62,150.81,18.99,112.76,38.76,15.88,12.62,24.54,23.22,214.99,22.97,8.75,148.04,17.73,14.75,21.1,355.89,145.02,71.42,91.57,125.66,11.79,555.1
"1973-01-18",163.96,152.61,19.02,118.23,38.49,15.98,12.73,24.61,23.58,218.17,23.29,8.83,150.82,18.25,14.85,21.22,360.37,151.89,70.77,93.33,126.51,11.82,561.76
"1973-01-19",166.33,155.49,19.39,121.04,39.39,16.13,12.83,24.94,23.66,220.41,23.53,8.81,155.01,18.23,15.15,21.61,362.81,153.77,72.18,93.33,128.78,11.79,570.65
"1973-01-22",169.03,155.85,19.43,120.38,39.6,16.21,13.04,25.15,23.81,220.41,23.72,8.87,155.01,18.27,15.29,22.16,363.62,153.77,75.01,95.76,128.78,12.03,573.18
"1973-01-23",170.05,155.49,19.24,116.47,38.9,15.94,12.76,25.33,23.81,215.67,23.58,8.75,148.3,18.05,14.83,21.98,358.33,150.96,73.6,93.77,125.73,11.91,563.88
"1973-01-24",170.72,157.29,19.46,121.56,39.11,16.22,12.87,25.54,23.78,218.72,23.68,8.78,150.9,18.23,15.12,22.31,359.15,151.58,74.07,96.42,125.73,12.09,573.55
"1973-01-25",174.1,159.09,19.5,126.25,39.25,16.13,12.86,25.81,23.69,218.38,23.68,8.74,150.4,18.21,15.13,22.34,361.18,150.08,73.42,98.62,126.51,12.23,573.44
"1973-01-26",175.12,156.93,19.21,127.42,39.11,15.89,12.68,25.84,23.52,216.34,23.45,8.97,148.04,18,14.83,22.01,361.59,147.52,73.42,98.62,126.12,12.15,568.64
"1973-01-29",169.03,155.49,18.73,127.22,39.04,15.88,12.68,25.68,23.34,215.54,23.22,8.97,147.05,17.95,14.96,22.56,360.37,148.77,71.24,97.08,124.95,12.17,564.92
"1973-01-30",166.67,152.61,18.32,125.27,38.76,15.62,12.05,24.81,22.45,210.3,22.33,8.73,144.53,17.77,14.69,22.19,350.61,145.64,69.82,96.28,121.44,11.99,558.6
"1973-01-31",169.03,152.97,18.47,127.22,38.76,15.74,12.52,25.26,22.57,210.92,22.71,9.01,144.95,17.93,14.74,22.34,357.44,145.64,69.82,95.32,122.22,11.89,558.11
"1973-02-01",169.03,151.17,18.25,126.44,38.83,15.44,12.46,25.07,22.39,217.02,22.65,9.01,144.53,17.95,14.7,22.23,354.67,146.89,70.59,95.98,122.61,11.8,558.97
"1973-02-02",166.67,147.21,18.1,123.51,38.35,15.25,12.29,24.54,22.16,210.24,22.32,8.87,142.02,17.82,14.5,22.12,353.45,144.71,69.53,94.66,121.83,11.81,549.04
"1973-02-05",162.61,139.79,17.67,116.87,37.51,14.42,11.92,23.74,21.45,206.91,21.58,8.65,132.38,17.22,14.05,21.38,345.73,144.08,67.47,90.73,116.75,11.56,533.83
"1973-02-06",161.6,143.25,17.66,115.69,36.53,14.58,12.1,23.97,21.45,206.85,21.58,8.63,131.55,17.18,14.32,21.52,349.79,140.33,69.53,91.35,116.36,11.68,534.5
"1973-02-07",163.96,147.57,17.81,119.6,37.58,14.82,12.3,24.54,21.69,208.21,21.79,8.64,136.15,17.45,14.54,21.7,325.39,140.58,67.47,91.57,121.05,11.99,544.31
"1973-02-08",163.62,146.85,17.67,119.14,37.58,14.96,12.48,24.61,21.8,209.56,21.68,8.68,135.05,17.35,14.68,21.78,353.05,145.02,70.77,92.37,121.44,11.87,545.47
"1973-02-09",163.29,144.04,17.59,116.47,37.3,14.68,12.38,24.47,21.74,206.17,21.5,8.44,129.79,17.2,14.41,21.58,350.61,139.39,69.35,90.83,120.27,11.64,536.36
"1973-02-12",163.29,145.41,17.77,117.26,37.37,14.86,12.48,24.61,21.86,208.88,21.79,8.63,130.29,17.41,14.55,21.84,350.61,140.08,69.35,92.01,121.83,11.83,543.65
"1973-02-13",169.03,150.45,18.25,120.77,37.86,15.29,12.79,24.64,21.95,210.24,22.28,8.44,130.29,17.79,15.01,22.57,353.05,147.21,71.24,94.88,124.95,11.87,550.56
"1973-02-14",167.34,149.86,18.24,119.14,37.72,15.06,12.57,24.24,21.98,211.6,22.36,8.26,126.1,17.7,14.55,22.38,357.52,145.64,69.18,94.22,120.27,11.95,546.25
"1973-02-15",163.96,148.29,17.81,115.89,36.95,13.94,12.14,24,21.77,206.17,22.25,8.25,120.73,17.41,14.33,22.01,351.42,141.89,68.03,92.89,119.88,11.87,539.07
"1973-02-16",163.96,149.01,17.85,118.23,37.23,14.76,12.24,24.2,21.74,208.88,22.31,8.33,124.42,17.47,14.41,22.23,353.05,144.39,68.88,92.23,119.88,11.99,542.72
"1973-02-19",169.03,148.29,17.51,115.69,36.74,14.55,12.07,23.97,21.57,206.85,22,8.44,122.33,17.13,14.25,22.16,345.73,143.08,68.23,91.57,117.14,11.99,535.54
"1973-02-20",166.67,149.37,17.65,118.82,36.88,14.73,12.14,24.04,21.69,209.56,22.08,9.02,124.01,17.43,14.33,22.4,344.91,140.96,71.71,93.33,117.14,12.19,543.46
"1973-02-21",169.71,150.81,17.85,119.6,37.09,14.91,12.24,24.07,21.92,216.96,22.26,9.06,123.59,17.45,14.46,22.63,342.47,144.71,73.13,93.11,118.7,11.72,547.29
"1973-02-22",174.78,150.22,17.66,124.49,37.37,15.05,12.36,24.24,21.98,218.04,22.21,8.92,127.78,17.68,14.5,22.89,342.47,144.45,71.71,94.66,119.48,11.79,549.11
"1973-02-23",175.79,148.65,17.62,122.53,36.88,14.03,12.14,24.17,21.63,217.7,22.02,8.91,124.01,17.45,14.24,22.49,343.28,143.08,71.24,92.67,118.31,11.64,542.53
"1973-02-26",177.82,149.3,17.7,125.07,36.88,14.96,11.67,24.27,21.8,216.34,22.2,8.92,124.84,17.54,14.24,22.78,341.66,144.39,71.89,92.67,119.56,11.68,543.72
"1973-02-27",179.85,150.09,17.88,127.81,37.16,14.88,12.14,24.47,21.86,216.34,22.43,9.21,127.28,17.77,14.22,22.95,341.66,145.02,72.83,93.25,119.88,11.68,546.4
"1973-02-28",176.81,148.65,17.62,127.61,37.09,14.75,12.17,24.27,21.83,216.34,22,9.83,126.52,17.75,14,22.83,340.03,143.77,73.13,92.45,119.88,11.56,543.24
"1973-03-01",175.46,146.26,17.55,126.71,36.81,14.62,12.19,24.2,21.63,210.24,21.65,9.64,123.17,17.7,13.78,22.74,336.78,141.89,72.66,92.45,118.7,11.56,540.33
"1973-03-02",174.1,145.77,17.59,126.64,36.67,14.03,12.14,24.1,21.48,210.24,21.61,9.51,121.57,17.59,13.86,22.72,332.71,141.27,72.48,91.57,117.14,11.48,538.29
"1973-03-05",174.78,146.85,17.52,127.61,36.74,14.72,12.32,24.14,21.39,208.88,21.78,9.51,122.91,17.7,13.86,22.83,334.74,142.58,73.42,92.45,119.48,11.6,542.86
"1973-03-06",175.79,147.07,17.66,128,36.74,14.7,11.76,24.41,21.39,208.21,21.83,9.86,124.16,17.67,13.91,22.83,332.71,142.58,73.89,92.45,119.48,11.64,543.2
"1973-03-07",176.13,146.71,17.67,128.13,36.81,14.03,12.43,24.44,21.45,209.56,21.86,9.93,124.76,17.66,14,23.21,327.02,143.77,75.01,92.23,118.31,11.83,547.59
"1973-03-08",180.87,148.65,17.92,128.98,37.37,14.82,12.45,24.54,21.63,212.28,22.13,9.88,123.25,17.75,13.93,23.55,342.47,142.21,70.77,92.67,118.46,11.91,550.75
"1973-03-09",178.84,146.13,17.65,127.35,36.95,14.82,12.33,24.41,21.42,212.95,21.85,9.85,123.09,17.76,13.95,23.55,346.54,142.52,76.9,92.01,118.31,11.93,551.16
"1973-03-12",180.87,147.21,17.77,128.79,37.65,14.97,12.38,24.74,21.51,213.63,21.9,10.31,121.49,17.82,13.96,23.65,347.35,143.2,77.67,92.72,118.31,12.46,555.03
"1973-03-13",181.88,149.01,17.92,129.18,37.51,15.07,12.39,25.04,22.1,212.49,22.18,10.79,121.49,17.77,13.89,23.53,355.89,143.46,76.9,92.89,119.41,12.58,558.6
"1973-03-14",183.57,151.17,18.31,132.11,38.21,15.37,12.62,25.27,22.45,214.31,22.72,10.5,124.35,18.32,14.18,23.7,366.06,146.27,77.84,93.99,120.27,12.74,567
"1973-03-15",185.6,149.66,17.96,131.33,38.07,15.29,12.52,25.34,22.57,216.9,22.37,10.46,124.35,18.21,14.05,23.57,366.06,147.58,77.46,93.55,121.05,12.7,562.02
"1973-03-16",183.91,150.09,18.2,134.06,38.35,15.34,12.48,25.41,22.69,216.9,22.55,10.65,128.69,18.37,14,23.61,368.5,151.21,76.9,93.99,125.34,12.66,569.9
"1973-03-19",185.94,152.02,18.4,133.28,39.04,15.51,12.67,25.88,22.93,220.35,22.83,10.6,132.12,18.48,14.32,23.99,370.94,152.46,78.7,95.1,131.98,12.74,572.58
"1973-03-20",185.26,152.25,18.29,131.72,39.11,15.15,12.49,25.88,22.81,221.09,22.61,10.31,130.71,18.27,14.18,23.96,366.88,151.78,77.37,94.66,130.27,12.55,571.35
"1973-03-21",183.57,152.61,18.4,132.57,39.67,15.16,12.46,26.08,23.04,228.55,22.79,10.5,131.13,18.55,14.14,24.49,371.35,152.52,78.7,95.76,131.91,12.58,575.04
"1973-03-22",185.94,154.05,18.69,133.09,39.67,15.38,12.78,26.28,23.37,230.59,22.86,10.41,131.55,18.98,14.41,24.53,372.57,151.33,78.79,96.42,131.98,12.66,579.09
"1973-03-23",185.94,155.35,18.69,132.89,39.6,15.52,12.97,26.11,23.28,236.35,22.83,10.46,134.48,19.07,14.14,24.15,375.82,152.21,79.26,96.2,132.3,12.58,580.99
"1973-03-26",182.56,154.41,18.62,129.76,39.46,15.47,13.18,25.94,22.99,232.62,22.68,10.36,142.94,18.69,14.5,23.62,375.01,152.46,79.17,95.54,131.91,12.46,574.89
"1973-03-27",180.87,151.24,18.04,128.2,38.76,15.04,12.86,25.41,22.51,229.91,22.18,10.17,140.34,18.5,14.09,23.21,366.06,148.77,77.67,93.77,128.93,12.11,566.37
"1973-03-28",182.56,152.25,18.14,130.15,39.25,15.16,13.05,25.54,22.69,232.62,22.47,10.22,140.76,18.69,14.18,23.4,369.32,148.77,78.32,94.44,128.86,12.19,572.92
"1973-03-29",181.2,154.05,18.18,130.15,39.25,15.34,13.08,25.84,22.72,232.56,22.54,10.22,142.02,18.8,14.31,23.55,368.5,148.46,79.17,95.32,131.59,12.23,574.07
"1973-03-30",180.87,153.26,18.24,129.76,39.11,15.27,13.08,25.94,22.84,232.56,22.58,10.17,139.92,18.71,14.14,23.55,367.28,148.89,79.73,95.49,131.74,12.19,572.51
"1973-04-02",180.87,152.02,18.24,129.37,38.9,15.13,12.97,26.08,22.93,232.56,22.54,10.26,142.44,18.57,14.06,23.46,366.06,149.96,79.26,94.7,130.42,12.27,571.2
"1973-04-03",179.18,151.53,18.1,128.79,38.69,14.96,12.9,25.61,22.63,230.25,22.44,10.98,141.52,18.5,14,23.22,366.06,150.02,78.49,94.22,125.73,12.19,568.34
"1973-04-04",175.79,149.73,17.88,125.85,38.07,14.55,12.58,25.21,22.48,224.82,22.18,10.93,136.57,18.18,13.69,22.61,353.86,147.21,76.61,92.67,123.39,12.07,560.75
"1973-04-05",175.79,150.16,17.88,127.03,38.42,14.77,12.7,25.21,22.39,230.59,22.21,11.18,139.92,18.25,13.77,23.32,353.86,148.14,77.37,93.99,126.51,12.07,563.65
"1973-04-06",179.18,150.38,17.89,126.83,38.49,14.88,12.9,25.27,22.63,229.91,22.29,11.42,140.42,18.27,14.05,23.11,356.3,148.2,76.61,93.99,126.51,12.07,567.45
"1973-04-09",179.18,148.65,17.84,125.85,38,14.73,12.7,25.31,22.36,228.55,22.21,11.56,137.41,18.14,13.8,22.93,357.11,147.83,76.43,93.33,127.68,12.11,563.02
"1973-04-10",183.23,148.29,17.67,125.46,38,14.66,12.71,25.17,22.28,228.42,22.15,11.9,137.41,18.05,13.89,22.95,353.86,145.96,76.61,93.33,126.51,12.03,564.44
"1973-04-11",180.87,147.43,17.67,125.11,38.21,14.69,12.9,25.08,22.13,230.93,22.08,11.56,137.41,18.27,14,23.62,348.17,145.84,76.9,94.22,126.66,12.15,565.96
"1973-04-12",180.87,148.65,17.69,127.03,38.49,14.88,12.98,25.11,22.25,232.22,22.13,11.59,136.73,18.3,14.1,23.92,348.17,146.89,76.43,94.44,125.34,12.07,568.16
"1973-04-13",181.54,146.13,17.4,126.25,38.21,14.62,12.67,24.91,22.1,225.44,21.97,11.56,135.89,18.27,13.84,23.85,351.42,146.89,76.43,94.66,128.07,11.99,562.84
"1973-04-16",176.13,144.69,17.22,128.59,38.14,14.5,12.67,24.74,21.86,223.8,21.5,11.66,134.06,18.23,13.77,23.41,351.01,147.52,77.55,93.33,125.34,11.94,561.57
"1973-04-17",176.47,143.61,16.93,128.59,37.79,14.31,12.45,24.47,21.66,219.74,21.15,11.61,131.96,18.05,13.6,23.05,348.17,145.33,76.43,92.54,124.17,11.87,554.95
"1973-04-18",175.79,143.97,16.96,132.89,38.14,14.36,12.52,24.24,21.45,218.38,21.2,11.53,132.38,18,13.67,23,343.69,145.64,76.43,93.11,124.88,11.79,555.77
