DATE,USD.EUR,USD.GBP,USD.CNY,USD.JPY
1/29/2012,0.763678,0.638932,6.29509,77.184
2/5/2012,0.760684,0.633509,6.29429,76.393
2/12/2012,0.757491,0.632759,6.29232,77.2049
2/19/2012,0.760889,0.634166,6.29644,78.7109
2/26/2012,0.750301,0.632641,6.2971,80.3373
3/4/2012,0.750474,0.629771,6.29873,81.1607
3/11/2012,0.759524,0.634822,6.31298,81.6805
3/18/2012,0.762422,0.635649,6.32955,83.1745
3/25/2012,0.755778,0.630544,6.32162,82.9884
4/1/2012,0.75041,0.62669,6.31928,82.7355
4/8/2012,0.759218,0.628538,6.3135,82.1442
4/15/2012,0.763117,0.629508,6.31496,81.033
4/22/2012,0.760768,0.624409,6.31468,81.2512
4/29/2012,0.75684,0.61783,6.31189,80.8742
5/6/2012,0.760004,0.61756,6.30484,80.0433
5/13/2012,0.771559,0.620382,6.31196,79.8568
5/20/2012,0.783266,0.628417,6.3261,79.6627
5/27/2012,0.792394,0.63625,6.3313,79.5667
6/3/2012,0.803367,0.64528,6.34344,78.7495
6/10/2012,0.799574,0.647485,6.33181,79.0657
6/17/2012,0.794636,0.641401,6.3197,79.1808
6/24/2012,0.792753,0.639017,6.30991,79.7488
7/1/2012,0.796756,0.640131,6.31609,79.6689
7/8/2012,0.803072,0.641787,6.31127,79.7379
7/15/2012,0.816205,0.64434,6.31345,79.363
7/22/2012,0.81773,0.639503,6.3076,78.7364
7/29/2012,0.819104,0.640261,6.32871,78.2947
8/5/2012,0.812987,0.639754,6.31901,78.3231
8/12/2012,0.810451,0.639196,6.32567,78.3919
8/19/2012,0.811284,0.637204,6.33704,79.0675
8/26/2012,0.801604,0.632973,6.33284,78.9299
9/2/2012,0.797113,0.631749,6.33628,78.5382
9/9/2012,0.789435,0.627566,6.33546,78.4058
9/16/2012,0.771803,0.620222,6.32881,78.0693
9/23/2012,0.767761,0.616081,6.33006,78.3797
9/30/2012,0.775697,0.617532,6.3315,77.8269
10/7/2012,0.771455,0.619635,6.32326,78.3964
10/14/2012,0.773117,0.623202,6.3131,78.3532
10/21/2012,0.767126,0.622393,6.29535,79.0511
10/28/2012,0.770777,0.622777,6.29013,79.8045
11/4/2012,0.774852,0.62231,6.28927,80.0401
11/11/2012,0.783698,0.626649,6.2881,79.8439
11/18/2012,0.785362,0.629975,6.27836,80.4702
11/25/2012,0.776996,0.626572,6.27708,82.0627
12/2/2012,0.77105,0.624239,6.26936,82.2545
12/9/2012,0.768958,0.622369,6.28372,82.3281
12/16/2012,0.765839,0.62019,6.28745,83.1101
12/23/2012,0.757528,0.61668,6.2952,84.152
12/30/2012,0.756928,0.619421,6.30858,85.4473
1/6/2013,0.761372,0.618866,6.30231,87.3101
1/13/2013,0.758222,0.6214,6.28004,88.3367
1/20/2013,0.750008,0.625594,6.25778,89.3989
1/27/2013,0.747643,0.632022,6.28088,89.8773
2/3/2013,0.73753,0.634928,6.28926,91.6286
2/10/2013,0.742446,0.635534,6.29187,93.0041
2/17/2013,0.746904,0.641893,6.28675,93.3669
2/24/2013,0.753574,0.653442,6.28732,93.5054
3/3/2013,0.764511,0.661772,6.28468,92.8631
3/10/2013,0.767689,0.665847,6.27882,94.5639
3/17/2013,0.767598,0.666362,6.26604,95.8323
3/24/2013,0.77258,0.659623,6.27649,94.9684
3/31/2013,0.778666,0.658674,6.27463,94.3011
4/7/2013,0.775479,0.656825,6.26526,95.2595
4/14/2013,0.764678,0.652122,6.25202,98.985
4/21/2013,0.764748,0.654496,6.23826,98.4954
4/28/2013,0.767581,0.650931,6.2279,98.8875
5/5/2013,0.762289,0.643314,6.20926,98.1185
5/12/2013,0.765597,0.646699,6.19863,100.129
5/19/2013,0.775475,0.656309,6.20287,102.454
5/26/2013,0.774953,0.660763,6.18855,102.046
6/2/2013,0.771565,0.660082,6.18295,101.05
6/9/2013,0.760941,0.647771,6.17347,98.6261
6/16/2013,0.751299,0.638933,6.16458,95.7368
6/23/2013,0.754592,0.643558,6.17774,96.5565
6/30/2013,0.766269,0.65322,6.18953,98.3757
7/7/2013,0.773078,0.663174,6.18209,100.349
7/14/2013,0.771232,0.665584,6.17901,99.9244
7/21/2013,0.76248,0.658221,6.17609,100.048
7/28/2013,0.755669,0.651084,6.17277,99.223
8/4/2013,0.753862,0.655349,6.17597,98.5622
8/11/2013,0.75056,0.647482,6.16445,97.0105
8/18/2013,0.751595,0.643042,6.16189,97.5478
8/25/2013,0.748021,0.640482,6.16187,98.1809
9/1/2013,0.752195,0.644205,6.1627,98.0541
9/8/2013,0.758954,0.641123,6.16739,99.3915
9/15/2013,0.753324,0.633301,6.1558,99.6581
9/22/2013,0.743203,0.625392,6.1445,99.1326
9/29/2013,0.74029,0.622276,6.14384,98.6153
10/6/2013,0.737536,0.619987,6.1382,97.612
10/13/2013,0.738134,0.625087,6.13426,97.7989
10/20/2013,0.734731,0.622275,6.12545,98.1302
10/27/2013,0.726439,0.618252,6.12293,97.6161
11/3/2013,0.733077,0.624005,6.13026,98.2443
11/10/2013,0.743862,0.623924,6.13455,98.696
11/17/2013,0.743544,0.623664,6.13063,99.7806
11/24/2013,0.739994,0.618846,6.12767,100.635
12/1/2013,0.736619,0.613931,6.12938,102.033
12/8/2013,0.733646,0.611075,6.1235,102.587
12/15/2013,0.727338,0.611303,6.11154,103.08
12/22/2013,0.729522,0.61229,6.1158,103.641
12/29/2013,0.729227,0.609222,6.11661,104.633
1/5/2014,0.730149,0.606696,6.10665,104.984
1/12/2014,0.733864,0.608154,6.10119,104.522
1/19/2014,0.734932,0.609538,6.09223,104.138
1/26/2014,0.734556,0.605925,6.10072,103.533
2/2/2014,0.735954,0.605761,6.10551,102.437
2/9/2014,0.737272,0.611449,6.10367,101.86
2/16/2014,0.732067,0.602716,6.10113,102.118
2/23/2014,0.728338,0.599821,6.1124,102.27
3/2/2014,0.727329,0.599056,6.12773,102.117
3/9/2014,0.724339,0.598389,6.1272,102.548
3/16/2014,0.719875,0.600848,6.14124,102.286
3/23/2014,0.722278,0.604218,6.15286,102.003
3/30/2014,0.725843,0.603241,6.15728,102.432
4/6/2014,0.727609,0.601969,6.17227,103.49
4/13/2014,0.72304,0.598193,6.16779,102.027
4/20/2014,0.723573,0.596294,6.1746,102.157
4/27/2014,0.72348,0.595138,6.17521,102.373
5/4/2014,0.721638,0.593298,6.16306,102.336
5/11/2014,0.722152,0.591588,6.15632,101.822
5/18/2014,0.729125,0.594504,6.16706,101.792
