hospital,beds,admissions,outpatients,births,expense,payroll,fte
1,210,7713,86982,312,56831,22061,792
2,347,16065,149222,1077,127223,55799,1762
3,511,23028,222565,1027,157093,61326,2310
4,142,4338,36710,355,24462,10503,328
5,40,905,13350,168,13730,6368,181
6,220,15563,88721,3810,93257,33920,1077
7,137,5347,188885,735,45458,26919,742
8,80,636,10209,1,6151,2768,131
9,440,15954,77343,1733,98992,40956,1594
10,48,1827,33977,257,11569,5664,233
11,56,1617,17925,169,11356,5084,241
12,46,2954,27170,430,15200,7085,203
13,109,2805,30263,0,20848,9709,325
14,306,9871,43128,2049,62778,28958,676
15,7,756,96000,211,20300,12300,347
16,16,342,7217,16,3836,2015,79
17,167,8426,66073,2648,41417,20633,505
18,444,18258,170223,2450,144966,61667,1543
19,236,8280,31022,1465,67997,31285,755
20,247,5449,44425,0,123175,41899,959
21,93,5247,29551,1993,28318,12589,325
22,236,11301,90178,2275,88080,32191,954
23,220,9466,172146,1494,107313,38668,1091
24,228,10444,95649,1313,116486,49017,671
25,83,2648,15507,451,20625,3009,300
26,273,9249,51102,1689,67519,28066,753
27,225,7763,91654,1583,60080,21944,607
28,236,10688,68482,2017,94401,38757,929
29,80,6671,35221,995,26094,13464,354
30,78,7761,37370,2045,38825,15951,408
31,197,9553,153994,1686,105672,46710,1251
32,60,2730,16060,503,29444,12583,386
33,31,1112,36735,126,8496,3918,144
34,264,13395,267091,2026,153844,86780,2047
35,246,12264,140152,1412,128312,63615,1343
36,556,12811,68330,1517,122809,63516,1723
37,56,860,5778,0,7079,3202,96
38,120,5502,36461,0,50823,20346,529
39,674,26547,294682,2719,367706,165344,3694
40,414,12260,81885,1074,85696,34117,1042
41,320,4147,47636,1421,29699,12391,1071
42,315,12804,92458,762,108848,43575,1525
43,344,16539,185313,3194,141031,56421,1983
44,168,7566,66309,496,56207,22128,670
45,315,15853,93373,1442,131297,52366,1653
46,88,2662,6533,0,9617,4735,167
47,245,8733,78773,1107,63442,28088,793
48,311,15196,115155,2989,109394,47744,841
49,233,1466,18659,113,9840,5593,316
50,46,812,11519,0,4417,2455,93
51,103,2312,30661,0,31628,10847,373
52,331,2305,35600,173,20848,10389,263
53,186,10541,76176,1064,56185,24373,943
54,177,4469,57104,759,43406,21388,605
55,149,5994,111901,1317,40014,17450,596
56,286,11142,173393,1751,75810,32620,1165
57,488,508,0,0,26298,21070,568
58,242,5682,37461,0,57236,21461,507
59,128,5511,37898,714,30063,14717,479
60,33,925,24679,99,7947,3388,136
61,255,13780,146454,2243,143118,56630,1456
62,481,28390,796525,3966,270244,113093,3486
63,191,9899,85986,1308,83223,38537,885
64,60,1247,35955,0,20151,8139,243
65,155,9893,192386,2514,105523,40048,1001
66,626,31452,236900,3714,323725,143991,3301
67,105,1456,47152,126,15701,7478,337
68,59,4706,292105,556,33014,6272,1193
69,258,9950,121004,1327,88222,35949,1161
70,47,1940,45057,415,22274,11191,322
71,22,1241,31833,216,10900,5542,185
72,53,1475,43357,339,14830,6624,205
73,244,9731,103595,1217,71691,33804,1224
74,352,14974,110754,2641,155097,61771,1704
75,366,7284,181430,790,55926,24520,815
76,194,5356,48413,520,42104,17721,712
77,109,458,26770,35,6428,3280,156
78,285,11624,599315,1168,127796,56476,1769
79,175,8080,200048,793,65083,28006,875
80,342,1259,0,0,28246,18783,790
81,140,2876,3192,0,22324,9346,308
82,50,404,13468,14,2547,1235,70
83,214,794,0,0,21517,13795,494
84,80,746,10074,0,4861,2591,111
85,467,6122,179676,0,114160,69051,1618
86,80,823,10409,0,8086,3623,244
87,160,6584,91769,776,45492,18955,525
88,106,3870,53424,451,24529,9420,472
89,40,859,2251,0,4663,2569,94
