DATE,nickel,copper,aluminium
3/16/2017,10270,5910,1710
3/15/2017,10180,5850,1690
3/14/2017,10085,5746,1690
3/13/2017,10140,5793,1690
3/10/2017,10020,5714,1690
3/9/2017,10050,5653,1690
3/8/2017,10515,5781,1695
3/7/2017,10915,5807,1700
3/6/2017,10890,5856,1700
3/3/2017,10880,5909,1675
3/2/2017,10895,5993,1660
3/1/2017,10980,6038,1630
2/28/2017,10865,5935,1630
2/27/2017,10890,5926,1630
2/24/2017,10675,5880,1640
2/23/2017,10630,5990,1640
2/22/2017,10705,5975,1620
2/21/2017,11015,6033,1625
2/20/2017,11040,6001,1650
2/17/2017,10875,5939,1645
2/16/2017,10870,6015,1645
2/15/2017,10705,6015,1640
2/14/2017,10820,6144,1635
2/13/2017,10670,6110,1635
2/10/2017,10430,5871,1635
2/9/2017,10375,5862,1595
2/8/2017,10435,5864,1595
2/7/2017,10380,5801,1590
2/6/2017,10330,5786,1585
2/3/2017,10150,5836,1585
2/2/2017,10355,5902,1585
2/1/2017,10020,5930,1585
1/31/2017,9880,5921,1585
1/30/2017,9490,5856,1585
1/27/2017,9375,5847,1600
1/26/2017,9560,5888,1600
1/25/2017,9630,5867,1595
1/24/2017,9760,5878,1600
1/23/2017,9765,5774,1600
1/20/2017,9730,5706,1590
1/19/2017,10030,5710,1580
1/18/2017,10155,5721,1575
1/17/2017,10170,5771,1575
1/16/2017,10230,5855,1550
1/13/2017,10110,5795,1585
1/12/2017,9950,5752,1585
1/11/2017,10440,5709,1585
1/10/2017,10430,5640,1560
1/9/2017,10240,5551,1540
1/6/2017,10180,5546,1535
1/5/2017,10225,5610,1535
1/4/2017,9970,5500,1535
1/3/2017,10200,5574,1540
12/30/2016,10005,5500,1540
12/29/2016,10030,5512,1540
12/28/2016,10130,5486,1540
12/23/2016,10565,5481,1540
12/22/2016,10580,5426,1540
12/21/2016,10880,5498,1540
12/20/2016,10970,5485,1540
12/19/2016,10845,5561,1520
12/16/2016,11120,5648,1560
12/15/2016,11240,5682,1560
12/14/2016,11360,5734,1560
12/13/2016,11400,5765,1560
12/12/2016,11270,5755,1560
12/9/2016,11320,5823,1560
12/8/2016,11365,5837,1515
12/7/2016,11540,5903,1505
12/6/2016,11510,5856,1555
12/5/2016,11675,5851,1555
12/2/2016,11120,5735,1555
12/1/2016,11200,5772,1555
11/30/2016,10960,5739,1555
11/29/2016,11295,5777,1560
11/28/2016,11675,5935,1560
11/25/2016,11460,5822,1565
11/24/2016,11565,5834,1565
11/23/2016,11220,5562,1560
11/22/2016,11370,5615,1545
11/21/2016,11150,5535,1525
11/18/2016,11075,5446,1525
11/17/2016,11235,5425,1525
11/16/2016,11200,5457,1525
