"","id","starttime","endtime","startrating","endrating","time"
"1",1,0,14.7395160925267,"B2","B3",14.7395160925267
"2",1,14.7395160925267,19.3539473502065,"B3","B2",4.61443125767977
"3",1,19.3539473502065,20,"B2","B2",0.646052649793504
"4",2,0,16.127703399622,"A1","A2",16.127703399622
"5",2,16.127703399622,20,"A2","A2",3.87229660037805
"6",3,0,11.3774878815104,"A3","B1",11.3774878815104
"7",3,11.3774878815104,12.6264387026617,"B1","A3",1.24895082115127
"8",3,12.6264387026617,20,"A3","A3",7.37356129733831
"9",4,0,0.369398473723609,"B3","A3",0.369398473723609
"10",4,0.369398473723609,13.9499136119104,"A3","B1",13.5805151381868
"11",4,13.9499136119104,20,"B1","B1",6.05008638808959
"12",5,0,5.21787223079575,"A3","A2",5.21787223079575
"13",5,5.21787223079575,7.22276127441638,"A2","A3",2.00488904362063
"14",5,7.22276127441638,11.4542952598016,"A3","B1",4.23153398538523
"15",5,11.4542952598016,12.4891353417665,"B1","B2",1.03484008196486
"16",5,12.4891353417665,13.4036514601069,"B2","B3",0.914516118340448
"17",5,13.4036514601069,18.3452555299386,"B3","C",4.94160406983164
"18",5,18.3452555299386,20,"C","C",1.65474447006144
"19",6,0,2.55280860654062,"A3","A2",2.55280860654062
"20",6,2.55280860654062,8.34633697581075,"A2","A3",5.79352836927013
"21",6,8.34633697581075,20,"A3","A3",11.6536630241892
"22",7,0,8.07385374932296,"B1","B2",8.07385374932296
"23",7,8.07385374932296,15.3950017706383,"B2","B3",7.32114802131535
"24",7,15.3950017706383,16.3511936398087,"B3","B2",0.956191869170354
"25",7,16.3511936398087,18.9907826985295,"B2","B3",2.63958905872085
"26",7,18.9907826985295,20,"B3","B3",1.00921730147049
"27",8,0,5.67111679178961,"B2","B3",5.67111679178961
"28",8,5.67111679178961,9.71986528819272,"B3","B2",4.04874849640311
"29",8,9.71986528819272,20,"B2","B2",10.2801347118073
"30",9,0,7.86454128662142,"B3","C",7.86454128662142
"31",9,7.86454128662142,9.8275285151378,"C","D",1.96298722851637
"32",10,0,0.621354908285634,"B2","B1",0.621354908285634
"33",10,0.621354908285634,17.8670472928124,"B1","B3",17.2456923845267
"34",10,17.8670472928124,20,"B3","B3",2.13295270718762
"35",11,0,7.91918507265947,"A3","A2",7.91918507265947
"36",11,7.91918507265947,20,"A2","A2",12.0808149273405
"37",12,0,1.55169494188526,"B2","B3",1.55169494188526
"38",12,1.55169494188526,2.00178250191364,"B3","B2",0.450087560028378
"39",12,2.00178250191364,7.64196253413433,"B2","B3",5.64018003222069
"40",12,7.64196253413433,11.1217653393532,"B3","C",3.47980280521887
"41",12,11.1217653393532,16.2523735548209,"C","D",5.1306082154677
"42",13,0,3.63403289310613,"C","B3",3.63403289310613
"43",13,3.63403289310613,5.18489867698329,"B3","C",1.55086578387716
"44",13,5.18489867698329,9.27669938290417,"C","D",4.09180070592088
"45",14,0,6.15277172093161,"C","B3",6.15277172093161
